"","draw_size","tourney_date","match_num","winner_hand","winner_ioc","best_of","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"26426",32,19910729,23,1,"89",3,80,2,2,50,28,21,15,9,1,2,2,6,66,36,24,11,9,8,12
"26427",32,19910729,24,1,"35",3,83,1,0,60,36,25,11,8,4,5,0,0,49,32,15,6,7,2,7
"26428",32,19910729,25,1,"2",3,70,3,1,55,32,27,13,10,0,3,2,2,57,36,24,2,9,3,7
"26429",32,19910729,26,1,"51",3,99,1,0,56,24,14,20,9,3,5,1,5,44,26,15,6,8,3,8
"26430",32,19910729,27,0,"2",3,180,5,3,124,98,59,11,16,10,16,9,2,95,47,33,21,15,6,12
"26431",32,19910729,28,1,"35",3,85,1,0,57,34,18,13,8,2,5,2,2,52,26,11,7,8,3,10
"26432",32,19910729,29,1,"2",3,80,1,1,41,32,22,8,8,1,2,1,1,50,37,17,6,8,4,9
"26433",32,19910729,30,1,"35",3,75,1,1,52,28,20,13,8,1,2,0,0,43,29,11,7,8,2,7
"26434",32,19910729,31,1,"2",3,105,0,0,64,51,33,4,8,10,12,3,1,76,52,25,10,8,11,17
"26435",32,19910805,1,1,"91",3,60,2,3,54,35,29,12,9,2,2,2,1,61,40,24,9,8,2,5
"26436",32,19910805,2,1,"32",3,74,2,1,48,20,18,18,8,2,2,1,0,61,27,17,13,7,13,17
"26437",32,19910805,3,1,"8",3,69,0,1,43,26,17,11,8,0,2,0,1,68,49,25,4,9,3,9
"26438",32,19910805,4,1,"35",3,79,4,2,63,36,28,11,9,6,8,0,1,51,23,14,10,8,6,11
"26439",32,19910805,5,1,"5",3,58,2,0,45,21,16,14,7,0,1,0,3,40,20,7,6,7,5,11
"26440",32,19910805,6,1,"97",3,117,4,2,91,47,36,25,13,12,14,1,4,88,30,19,32,13,9,13
"26441",32,19910805,7,0,"38",3,79,3,0,72,35,23,19,10,3,5,1,1,55,41,22,7,10,1,5
"26442",32,19910805,8,1,"2",3,101,0,0,56,40,26,13,10,0,1,1,0,72,41,25,16,10,7,10
"26443",32,19910805,9,1,"32",3,62,0,2,48,30,24,12,8,3,3,0,3,49,38,22,2,8,4,8
"26444",32,19910805,10,0,"5",3,78,1,1,62,42,27,14,9,5,6,2,5,46,21,13,11,9,0,4
"26445",32,19910805,11,1,"90",3,93,4,2,63,23,16,26,10,6,7,0,1,71,38,25,14,11,2,6
"26446",32,19910805,12,1,"91",3,65,2,1,50,23,17,14,9,5,8,1,1,53,33,16,6,9,1,7
"26447",32,19910805,13,0,"2",3,120,0,1,73,48,35,14,13,2,4,3,3,86,50,25,14,13,3,10
"26448",32,19910805,14,1,"32",3,92,4,1,55,25,23,16,10,0,1,0,0,51,28,17,14,9,1,4
"26449",32,19910805,15,1,"51",3,142,2,0,100,73,41,17,17,6,13,3,3,115,54,34,25,17,10,17
"26450",32,19910805,16,1,"25",3,92,0,3,52,28,21,14,9,5,7,2,3,72,40,25,10,10,8,13
"26451",32,19910805,17,1,"91",3,69,0,2,45,27,18,12,8,2,4,2,0,56,22,14,11,9,2,8
"26452",32,19910805,18,1,"35",3,70,2,2,51,38,29,8,9,0,0,1,6,55,34,26,5,8,4,7
"26453",32,19910805,19,1,"5",3,81,1,3,66,28,23,17,9,5,7,4,5,62,34,20,9,8,5,10
"26454",32,19910805,20,1,"2",3,80,0,2,55,43,28,4,8,7,9,0,0,53,29,12,10,8,11,17
"26455",32,19910805,21,0,"5",3,94,0,2,58,49,34,6,9,5,6,0,2,57,40,21,8,8,2,6
"26456",32,19910805,22,1,"91",3,42,1,0,30,21,17,7,6,0,0,0,4,35,10,6,5,7,1,7
"26457",32,19910805,23,0,"2",3,71,1,3,48,32,25,5,9,1,3,5,5,58,23,14,12,8,8,13
"26458",32,19910805,24,1,"25",3,165,5,9,127,55,36,34,16,14,20,2,4,84,50,34,15,16,1,7
"26459",32,19910805,25,1,"91",3,63,0,4,52,34,25,11,8,4,4,1,2,47,22,10,13,8,0,4
"26460",32,19910805,26,1,"2",3,180,1,2,118,100,59,7,16,6,11,5,6,102,62,40,21,15,3,7
"26461",32,19910805,27,0,"5",3,60,0,1,47,36,25,8,7,4,4,0,0,50,26,12,8,8,1,6
"26462",32,19910805,28,1,"25",3,90,3,2,53,27,18,16,8,5,6,0,0,59,36,18,8,8,5,10
"26463",32,19910805,29,1,"91",3,145,2,7,109,68,45,16,16,6,13,0,1,100,72,32,17,16,6,15
"26464",32,19910805,30,1,"25",3,130,3,1,95,60,42,14,14,5,8,0,1,103,80,46,13,13,12,16
"26465",32,19910805,31,1,"25",3,93,6,1,57,22,17,23,10,1,2,0,4,74,51,26,16,10,4,7
"26466",32,19911014,1,1,"35",3,103,7,5,72,43,33,15,13,2,4,8,1,87,48,39,17,13,4,6
"26467",32,19911014,2,1,"35",3,130,5,9,108,61,44,26,17,4,6,7,4,112,72,49,18,16,6,10
"26468",32,19911014,3,1,"99",3,88,11,3,79,37,31,25,11,3,3,6,2,79,45,34,16,10,10,11
"26469",32,19911014,4,1,"35",3,88,0,3,57,18,16,19,8,4,5,7,4,64,33,21,8,8,5,10
"26470",32,19911014,5,1,"32",3,125,1,1,96,58,38,15,14,4,9,6,1,86,42,26,25,14,5,11
"26471",32,19911014,6,1,"35",3,87,11,3,66,37,32,12,9,7,7,4,4,49,29,15,14,8,3,6
"26472",32,19911014,7,1,"82",3,97,4,12,67,31,24,19,9,2,3,1,4,81,41,27,14,9,11,15
"26473",32,19911014,8,1,"99",3,160,18,3,110,55,50,30,18,3,6,11,5,121,69,49,30,18,1,4
"26474",32,19911014,9,1,"2",3,119,3,0,103,76,52,16,16,5,8,7,4,102,63,49,20,16,6,8
"26475",32,19911014,10,1,"91",3,80,5,1,63,38,31,11,9,4,5,2,1,56,30,14,17,9,2,6
"26476",32,19911014,11,1,"35",3,110,7,4,76,40,29,19,13,3,6,4,3,90,65,34,13,12,9,14
"26477",32,19911014,12,1,"99",3,94,5,2,61,39,31,13,11,3,4,3,2,66,38,24,13,10,8,11
"26478",32,19911014,13,1,"91",3,107,4,1,84,45,33,23,14,0,3,6,5,84,45,35,20,14,1,3
"26479",32,19911014,14,1,"99",3,160,9,3,115,76,61,18,18,2,4,8,2,114,64,50,23,18,1,5
"26480",32,19911014,15,1,"35",3,105,0,0,69,46,29,16,10,4,5,8,0,61,45,30,7,10,2,5
"26481",32,19911014,16,1,"99",3,66,12,0,58,35,29,12,9,3,3,5,3,47,10,6,19,8,2,5
"26482",32,19911014,17,1,"35",3,136,5,5,122,71,53,27,16,5,6,3,1,93,54,40,24,16,3,6
"26483",32,19911014,18,1,"99",3,80,4,2,65,34,26,13,10,4,7,2,6,70,45,25,10,10,4,9
"26484",32,19911014,19,1,"32",3,124,3,0,91,57,38,19,12,3,6,6,3,89,44,33,21,12,8,11
"26485",32,19911014,20,1,"99",3,65,3,1,55,32,27,13,10,0,3,2,2,57,36,24,2,9,3,7
"26486",32,19911014,21,1,"2",3,124,7,2,85,56,41,10,11,2,5,3,1,82,53,34,13,11,5,9
"26487",32,19911014,22,1,"99",3,77,3,1,55,30,21,18,10,2,3,3,6,66,40,24,10,9,4,8
"26488",32,19911014,23,1,"91",3,131,5,0,85,53,39,19,14,1,2,2,5,123,82,50,16,14,12,17
"26489",32,19911014,24,1,"99",3,64,5,3,49,29,23,12,8,6,6,4,0,59,38,20,9,8,5,9
"26490",32,19911014,25,1,"35",3,72,3,1,58,29,24,19,10,0,1,2,2,57,27,22,14,10,0,3
"26491",32,19911014,26,1,"32",3,77,2,0,60,41,27,14,9,2,3,2,4,61,35,25,7,9,2,6
"26492",32,19911014,27,1,"99",3,75,0,1,48,28,20,15,8,0,0,0,0,76,59,29,9,8,5,9
"26493",32,19911014,28,1,"99",3,55,8,2,45,32,27,8,8,2,2,2,1,48,32,19,6,8,4,8
"26494",32,19911014,29,1,"35",3,100,1,1,87,51,36,15,10,7,9,4,2,72,45,27,12,10,9,13
"26495",32,19911014,30,1,"99",3,67,4,1,55,36,24,13,8,2,2,1,0,43,20,11,8,7,0,4
"26496",32,19911014,31,1,"99",3,61,9,2,38,20,19,11,7,2,2,3,5,65,30,17,13,7,14,19
"26497",32,19910429,1,1,"99",3,73,4,2,56,32,26,12,8,2,2,1,2,53,32,16,11,8,3,7
"26498",32,19910429,2,1,"23",3,68,6,0,54,41,27,9,9,3,4,0,3,55,22,15,12,8,8,12
"26499",32,19910429,3,1,"2",3,149,1,0,98,80,47,8,14,12,17,3,2,106,85,46,8,15,11,19
"26500",32,19910429,4,1,"99",3,116,1,0,85,58,32,14,13,6,11,0,0,80,52,32,9,13,4,10
"26501",32,19910429,5,1,"91",3,62,2,4,50,26,20,14,8,2,2,2,0,46,37,21,2,9,1,5
"26502",32,19910429,6,1,"38",3,79,6,0,53,34,30,10,9,2,2,1,1,66,50,33,6,10,2,5
"26503",32,19910429,7,1,"5",3,86,1,1,60,45,32,11,9,3,3,4,0,70,42,29,11,9,8,11
"26504",32,19910429,8,1,"91",3,135,2,1,110,82,48,14,15,8,12,4,6,110,60,39,20,16,7,13
"26505",32,19910429,9,1,"91",3,160,3,2,94,66,40,10,13,1,6,1,2,82,62,32,10,12,5,11
"26506",32,19910429,10,1,"90",3,108,4,2,68,33,23,19,10,5,8,1,1,88,48,25,20,10,10,15
"26507",32,19910429,11,1,"91",3,72,0,2,57,44,33,6,10,0,1,5,3,72,43,27,14,11,4,8
"26508",32,19910429,12,1,"81",3,63,1,2,60,45,30,9,8,5,5,2,2,48,19,15,10,8,1,5
"26509",32,19910429,13,1,"2",3,80,2,0,49,34,22,10,8,1,2,1,2,47,35,18,3,7,4,9
"26510",32,19910429,14,1,"91",3,70,2,2,67,59,34,4,9,4,6,1,0,61,56,27,3,9,6,11
"26511",32,19910429,15,1,"38",3,85,0,3,74,59,38,7,13,0,3,0,0,70,56,32,7,12,4,9
"26512",32,19910429,16,0,"23",3,79,5,1,53,27,22,15,10,0,2,2,4,58,32,22,9,9,3,7
"26513",32,19910429,17,1,"99",3,138,6,0,85,39,29,20,13,5,9,3,0,103,74,41,13,14,9,15
"26514",32,19910429,18,1,"99",3,120,0,1,84,56,36,14,15,1,6,0,2,80,54,33,11,14,2,7
"26515",32,19910429,19,1,"38",3,160,4,1,96,61,41,21,16,3,7,3,3,122,75,51,19,16,10,14
"26516",32,19910429,20,1,"91",3,145,4,0,77,59,37,11,13,4,7,2,3,130,97,59,8,13,14,20
"26517",32,19910429,21,1,"91",3,84,2,1,68,64,39,1,9,3,5,1,9,75,54,28,8,9,6,11
"26518",32,19910429,22,1,"91",3,63,2,0,41,30,21,8,8,0,1,1,1,53,37,16,9,8,8,13
"26519",32,19910429,23,1,"2",3,76,0,0,62,51,33,6,10,0,2,3,2,49,35,21,3,10,0,5
"26520",32,19910429,24,0,"23",3,103,13,2,78,44,31,20,14,4,7,2,2,108,78,43,15,15,8,13
"26521",32,19910429,25,1,"99",3,151,3,1,90,52,39,15,15,3,7,0,2,106,78,44,14,16,3,8
"26522",32,19910429,26,1,"91",3,90,1,2,66,55,35,4,10,3,6,0,3,79,61,30,7,10,6,12
"26523",32,19910429,27,1,"91",3,107,3,0,71,52,31,12,12,2,5,1,1,84,58,35,5,12,2,9
"26524",32,19910429,28,1,"2",3,102,0,1,67,49,30,7,9,2,5,5,3,71,30,17,14,10,3,9
"26525",32,19910429,29,1,"91",3,100,1,1,62,46,29,9,11,0,3,8,2,79,35,26,16,11,5,10
"26526",32,19910429,30,1,"2",3,58,0,0,42,32,20,8,6,2,2,0,0,34,24,6,3,6,1,7
"26527",32,19910429,31,1,"91",3,112,3,3,71,49,31,13,12,2,5,0,1,88,69,38,11,13,3,7
"26528",32,19910429,1,1,"51",3,143,2,1,108,66,47,25,16,8,10,4,0,92,61,45,17,15,2,4
"26529",32,19910429,2,1,"35",3,131,0,1,73,67,40,4,12,1,5,0,0,81,75,38,2,12,5,12
"26530",32,19910429,3,0,"32",3,80,1,3,47,32,23,7,8,0,1,0,2,65,49,27,4,9,7,12
"26531",32,19910429,4,1,"32",3,81,1,2,61,45,28,8,9,4,6,3,4,50,21,14,8,8,5,10
"26532",32,19910429,5,1,"25",3,106,6,3,70,40,33,16,11,2,3,4,6,81,39,26,20,10,8,10
"26533",32,19910429,6,1,"12",3,125,2,2,97,63,39,18,13,8,12,0,2,85,58,38,12,13,4,8
"26534",32,19910429,7,1,"91",3,75,0,1,53,35,23,13,9,2,3,2,1,54,43,23,5,9,3,7
"26535",32,19910429,8,0,"2",3,84,1,3,46,31,21,7,9,0,3,2,3,65,30,18,9,8,5,11
"26536",32,19910429,9,1,"98",3,80,2,1,56,42,29,6,8,3,4,0,2,54,35,18,6,8,5,10
"26537",32,19910429,10,1,"12",3,67,3,2,52,25,19,17,8,1,1,4,2,48,26,17,8,8,0,4
"26538",32,19910429,11,1,"69",3,87,1,0,68,61,48,3,11,0,0,7,4,77,49,35,14,10,7,8
"26539",32,19910429,12,0,"29",3,48,8,2,42,25,20,10,7,1,1,0,3,38,23,10,6,7,3,8
"26540",32,19910429,13,1,"38",3,70,0,1,60,35,29,15,10,5,5,3,1,62,39,27,11,10,1,3
"26541",32,19910429,14,1,"32",3,160,21,3,116,74,59,23,18,1,2,3,4,130,96,68,17,18,5,6
"26542",32,19910429,15,1,"32",3,115,5,0,73,59,40,11,11,7,8,4,2,81,53,37,13,11,0,2
"26543",32,19910429,16,1,"32",3,56,0,0,46,31,22,10,8,3,4,0,3,42,27,13,6,8,0,5
"26544",32,19910429,17,1,"35",3,132,0,0,59,46,29,7,11,2,5,2,1,80,53,24,16,12,9,16
"26545",32,19910429,18,1,"32",3,180,0,1,121,93,61,15,17,8,12,0,5,120,98,60,9,17,4,9
"26546",32,19910429,19,1,"25",3,75,8,1,62,35,29,14,11,1,2,1,1,57,33,23,11,10,2,5
"26547",32,19910429,20,0,"2",3,100,0,2,65,52,33,6,11,5,8,2,3,80,44,24,15,12,6,12
"26548",32,19910429,21,1,"98",3,145,0,1,96,74,40,13,14,3,8,1,2,105,69,42,16,15,2,8
"26549",32,19910429,22,1,"69",3,111,5,5,84,49,33,14,13,6,11,5,3,91,49,30,16,13,8,14
"26550",32,19910429,23,1,"32",3,74,7,3,59,27,21,21,10,1,1,1,3,55,30,20,14,10,0,2
"26551",32,19910429,24,1,"32",3,105,0,0,78,62,43,8,13,3,5,0,0,63,50,37,4,13,1,5
