"","draw_size","tourney_date","match_num","winner_hand","winner_ioc","best_of","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"1",32,20080107,1,1,"33",3,94,7,5,70,40,35,15,11,3,4,2,4,66,41,29,11,10,1,3
"2",32,20080107,2,1,"78",3,67,3,2,51,27,22,13,9,3,4,2,1,54,37,23,7,9,2,6
"3",32,20080107,3,1,"33",3,126,9,2,78,40,32,20,13,4,6,5,1,98,63,34,20,13,6,11
"4",32,20080107,4,0,"30",3,124,3,4,83,64,44,8,14,5,8,11,5,99,54,35,19,13,8,13
"5",32,20080107,5,1,"33",3,80,5,2,68,27,18,23,10,5,8,3,1,57,31,21,10,10,2,7
"6",32,20080107,6,1,"9",3,69,6,2,57,38,32,11,10,0,1,1,2,56,26,21,14,9,4,7
"7",32,20080107,7,1,"24",3,73,5,2,71,50,34,10,10,6,8,2,0,54,34,18,9,10,0,5
"8",32,20080107,8,1,"51",3,34,3,2,27,21,16,0,4,2,3,2,1,20,10,6,1,3,3,6
"9",32,20080107,9,1,"6",3,88,5,4,48,26,20,12,9,1,3,4,13,82,41,28,14,10,8,13
"10",32,20080107,10,0,"6",3,77,18,3,62,43,39,12,11,1,1,2,3,64,35,27,19,11,0,1
"11",32,20080107,11,1,"33",3,72,4,2,59,32,23,17,10,0,2,5,1,60,30,22,10,9,1,5
"12",32,20080107,12,1,"24",3,72,7,1,55,33,26,12,8,3,3,1,6,66,31,18,15,8,9,13
"13",32,20080107,13,1,"30",3,90,2,3,74,42,30,19,12,7,9,3,3,72,44,32,13,13,0,3
"14",32,20080107,14,1,"4",3,76,6,2,42,22,21,11,8,0,0,3,3,67,44,25,10,9,8,12
"15",32,20080107,15,1,"48",3,111,2,0,87,49,34,21,13,8,10,7,1,87,53,32,19,13,7,11
"16",32,20080107,16,1,"24",3,91,2,3,69,39,26,16,9,4,5,1,3,57,39,22,8,9,3,7
"17",32,20080107,17,1,"78",3,123,8,2,91,49,39,23,14,3,4,7,4,96,62,43,17,14,5,7
"18",32,20080107,18,1,"33",3,78,3,0,52,31,26,10,10,1,3,5,0,60,47,21,9,9,7,11
"19",32,20080107,19,1,"33",3,60,5,0,48,39,28,5,8,1,2,1,0,43,30,17,2,8,2,7
"20",32,20080107,20,1,"51",3,66,3,5,55,29,23,13,9,3,4,2,4,62,35,20,11,8,8,12
"21",32,20080107,21,0,"6",3,97,23,4,80,45,43,18,12,4,4,8,3,74,40,34,20,12,0,0
"22",32,20080107,22,1,"24",3,86,6,3,58,41,32,9,10,3,5,2,1,76,46,24,14,10,4,8
"23",32,20080107,23,1,"4",3,71,10,2,53,30,27,13,10,2,3,1,1,62,38,22,11,9,5,8
"24",32,20080107,24,1,"24",3,140,6,1,90,57,41,19,15,6,9,7,1,104,61,43,21,15,7,10
"25",32,20080107,25,1,"78",3,74,8,1,58,38,29,10,9,7,8,4,1,62,35,22,13,9,3,7
"26",32,20080107,26,1,"33",3,78,7,1,56,38,31,10,9,3,3,1,1,59,34,21,12,9,5,8
"27",32,20080107,27,0,"6",3,125,19,5,111,69,53,24,16,6,7,7,4,97,54,43,26,16,2,3
"28",32,20080107,28,1,"24",3,68,5,1,47,35,28,6,9,2,3,1,3,55,31,20,11,9,6,10
"29",32,20080107,29,1,"78",3,102,8,2,71,43,31,18,11,3,4,3,3,77,39,25,21,10,7,9
"30",32,20080107,30,0,"6",3,178,13,3,90,60,54,13,15,4,5,6,1,90,52,42,26,16,2,3
"31",32,20080107,31,1,"78",3,83,6,1,74,43,38,20,12,0,0,15,0,65,39,36,18,12,0,0
"32",32,20081006,1,1,"36",3,151,3,6,95,49,38,21,16,1,6,3,1,111,72,43,19,16,7,14
"33",32,20081006,2,1,"24",3,145,4,2,127,88,52,19,16,16,21,4,0,90,60,36,18,16,5,10
"34",32,20081006,3,1,"30",3,103,14,4,83,49,38,20,12,1,1,9,3,80,51,40,16,12,1,1
"35",32,20081006,4,1,"4",3,152,1,0,116,80,54,20,17,10,13,3,2,98,56,47,20,17,5,8
"36",32,20081006,5,1,"30",3,92,0,3,71,49,42,13,11,2,2,17,0,67,44,37,10,11,3,4
"37",32,20081006,6,0,"7",3,88,11,2,68,39,32,16,11,2,3,9,1,68,45,31,10,10,1,3
"38",32,20081006,7,0,"30",3,96,13,1,73,47,41,18,12,1,1,12,2,84,53,39,23,12,8,8
"39",32,20081006,8,1,"19",3,63,0,1,44,23,17,13,7,3,4,1,3,54,33,18,3,8,4,10
"40",32,20081006,9,0,"30",3,93,4,4,62,42,35,9,10,3,3,1,3,75,50,36,9,10,6,8
"41",32,20081006,10,1,"4",3,109,9,0,65,38,29,15,11,1,3,2,5,71,34,25,16,10,3,6
"42",32,20081006,11,1,"36",3,69,8,1,51,36,27,9,8,0,0,7,2,55,32,19,8,8,3,7
"43",32,20081006,12,1,"4",3,131,7,0,80,53,40,11,12,1,4,5,0,98,60,34,22,12,6,9
"44",32,20081006,13,1,"33",3,119,4,3,84,55,34,18,12,6,8,3,5,93,39,26,24,13,9,14
"45",32,20081006,14,1,"24",3,80,4,0,61,43,30,10,9,2,3,8,6,71,36,25,12,9,10,14
"46",32,20081006,15,1,"54",3,58,4,3,45,24,21,14,8,2,2,0,0,47,36,18,7,9,2,6
"47",32,20081006,16,1,"16",3,139,8,3,110,67,46,25,15,7,9,5,1,97,61,44,17,15,5,8
"48",32,20081006,17,1,"36",3,82,6,1,48,34,30,10,10,0,0,2,4,69,39,25,15,9,4,6
"49",32,20081006,18,1,"30",3,66,9,1,62,37,30,14,9,5,5,1,3,42,22,16,9,8,1,4
"50",32,20081006,19,0,"7",3,97,7,1,68,46,36,17,11,2,3,3,3,77,52,39,9,10,4,6
"51",32,20081006,20,0,"30",3,102,5,5,71,35,30,21,11,1,1,3,0,78,47,30,18,10,2,3
"52",32,20081006,21,0,"30",3,67,3,3,54,42,27,8,8,4,5,4,2,41,21,13,5,7,3,8
"53",32,20081006,22,1,"36",3,70,3,1,55,32,27,13,10,0,3,2,2,57,36,24,2,9,3,7
"54",32,20081006,23,1,"33",3,71,5,1,59,40,33,6,9,2,3,3,1,57,40,26,6,10,2,6
"55",32,20081006,24,1,"16",3,130,7,2,104,70,53,16,15,4,7,4,7,95,57,40,18,14,7,11
"56",32,20081006,25,1,"36",3,61,10,0,48,35,31,7,9,2,2,4,3,53,35,23,8,9,1,4
"57",32,20081006,26,0,"30",3,118,11,5,89,47,38,25,15,2,3,3,1,78,42,33,22,14,0,2
